,TF,target
641,Elk3,Atf7ip
642,Elk3,Baiap2
643,Elk3,Baz2b
644,Elk3,Ccnd1
645,Elk3,Chst10
646,Elk3,Eif2d
647,Elk3,Elf1
648,Elk3,Fam78a
649,Elk3,Fbxo10
650,Elk3,Fcgr3
651,Elk3,Fnbp1
652,Elk3,Fut8
653,Elk3,Galnt6
654,Elk3,Gas5
655,Elk3,Gpr132
656,Elk3,Igf1r
657,Elk3,Lmo4
658,Elk3,Lpin2
659,Elk3,Lrp1
660,Elk3,Map3k3
661,Elk3,Mapk14
662,Elk3,Mier3
663,Elk3,Msi2
664,Elk3,Mta3
665,Elk3,Ncs1
666,Elk3,Nin
667,Elk3,Osbpl3
668,Elk3,Otud7b
669,Elk3,Pcyt1b
670,Elk3,Pip4k2a
671,Elk3,Plcg2
672,Elk3,Rassf3
673,Elk3,Rcsd1
674,Elk3,Rnaseh2b
675,Elk3,Runx1
676,Elk3,Slc16a10
677,Elk3,Slc45a3
678,Elk3,Tbc1d16
679,Elk3,Tiam1
680,Elk3,Wipf1
681,Elk3,Zmynd11
682,Ets1,Acot7
683,Ets1,Arhgap25
684,Ets1,Arid4b
685,Ets1,Coro2a
686,Ets1,Ctdspl
687,Ets1,Erc1
688,Ets1,Fcgr3
689,Ets1,Fmr1
690,Ets1,Git2
691,Ets1,H2-T10
692,Ets1,Hmgn2
693,Ets1,Hoxa9
694,Ets1,Igf1r
695,Ets1,Kdm2a
696,Ets1,Maml3
697,Ets1,Map3k3
698,Ets1,Mapkapk2
699,Ets1,Meis1
700,Ets1,Nfam1
701,Ets1,Plvap
702,Ets1,Ralgps2
703,Ets1,Rreb1
704,Ets1,Ywhaz
705,Ets1,Zfhx3
706,Etv6,Ache
707,Etv6,Acin1
708,Etv6,C530008M17Rik
709,Etv6,Ccnd2
710,Etv6,Crip1
711,Etv6,Ece1
712,Etv6,Evi2b
713,Etv6,Fam107b
714,Etv6,Gata2
715,Etv6,Grb10
716,Etv6,Gxylt1
717,Etv6,H2afy
718,Etv6,Lpin2
719,Etv6,Med13l
720,Etv6,Muc13
721,Etv6,Myb
722,Etv6,Nrgn
723,Etv6,Per3
724,Etv6,Ptpre
725,Etv6,Rfx2
726,Etv6,S1pr1
727,Etv6,Secisbp2
728,Etv6,Slc22a3
729,Etv6,Soat2
730,Etv6,Sox4
731,Etv6,Srgn
732,Etv6,Srrm2
733,Etv6,Syk
734,Etv6,Tnrc18
735,Etv6,Tnrc6b
736,Etv6,Trip12
737,Etv6,Usp4
738,Etv6,Vim
739,Etv6,Zfp945
740,Fli1,2900026A02Rik
741,Fli1,Arglu1
742,Fli1,Bcl9l
743,Fli1,Bmp1
744,Fli1,Cited2
745,Fli1,Cnn2
746,Fli1,Csf2rb
747,Fli1,Ctnnb1
748,Fli1,Ctsc
749,Fli1,Dapp1
750,Fli1,Dock10
751,Fli1,Ehd3
752,Fli1,Ehmt2
753,Fli1,Gsn
754,Fli1,H2-T10
755,Fli1,Hip1r
756,Fli1,Ifitm1
757,Fli1,Irf1
758,Fli1,Irf8
759,Fli1,Lrrfip1
760,Fli1,Ncs1
761,Fli1,Ocrl
762,Fli1,Plcb2
763,Fli1,Rftn1
764,Fli1,Rgl1
765,Fli1,Rnf144a
766,Fli1,Runx2
767,Fli1,Spns2
768,Fli1,Spns3
769,Fli1,Tmem176b
770,Fli1,Tnfrsf1b
771,Fli1,Tuba1a
772,Fli1,Wbp2
773,Fli1,Zbtb7a
774,Fli1,Zfp507
775,Foxo1,Abcb6
776,Foxo1,Akap13
777,Foxo1,Aldh1b1
778,Foxo1,Ankrd44
779,Foxo1,Arhgef2
780,Foxo1,Ass1
781,Foxo1,Atp11a
782,Foxo1,B4galt6
783,Foxo1,Bahcc1
784,Foxo1,Baz1a
785,Foxo1,Brd1
786,Foxo1,Bri3bp
787,Foxo1,Cables1
788,Foxo1,Camk1d
789,Foxo1,Capg
790,Foxo1,Cbx4
791,Foxo1,Cbx8
792,Foxo1,Ccnd2
793,Foxo1,Celf2
794,Foxo1,Csrnp1
795,Foxo1,Deptor
796,Foxo1,Dnmt3b
797,Foxo1,Dock7
798,Foxo1,Eif5b
799,Foxo1,Fam105a
800,Foxo1,Gadd45b
801,Foxo1,Gata2
802,Foxo1,Gclc
803,Foxo1,Ggta1
804,Foxo1,Git2
805,Foxo1,Gm2a
806,Foxo1,Gtf2i
807,Foxo1,Gyg
808,Foxo1,Gypc
809,Foxo1,H13
810,Foxo1,H2-Oa
811,Foxo1,Hnrnpk
812,Foxo1,Hyi
813,Foxo1,Impa2
814,Foxo1,Itpr3
815,Foxo1,Itsn1
816,Foxo1,Kcnn4
817,Foxo1,Klf3
818,Foxo1,Kpnb1
819,Foxo1,Limd2
820,Foxo1,Lrp8
821,Foxo1,Maml3
822,Foxo1,Muc13
823,Foxo1,Mutyh
824,Foxo1,Ncs1
825,Foxo1,Nfat5
826,Foxo1,Nin
827,Foxo1,Nrgn
828,Foxo1,Pdia4
829,Foxo1,Pgd
830,Foxo1,Plekhg2
831,Foxo1,Prrg4
832,Foxo1,Psmb8
833,Foxo1,Ptp4a3
834,Foxo1,Ptprs
835,Foxo1,Rab37
836,Foxo1,Ralgps2
837,Foxo1,Rasgrp2
838,Foxo1,S1pr1
839,Foxo1,Serpinf1
840,Foxo1,Skil
841,Foxo1,Slc36a1
842,Foxo1,Slc38a1
843,Foxo1,Slc38a2
844,Foxo1,Slco3a1
845,Foxo1,Smad1
846,Foxo1,Smyd2
847,Foxo1,Srcap
848,Foxo1,Srgn
849,Foxo1,Tacc2
850,Foxo1,Tcf12
851,Foxo1,Tcp11l2
852,Foxo1,Tmem165
853,Foxo1,Tmem2
854,Foxo1,Tnfrsf1b
855,Foxo1,Tnfrsf21
856,Foxo1,Tnrc6b
857,Foxo1,Tor3a
858,Foxo1,Trf
859,Foxo1,Ung
860,Foxo1,Zfand2b
861,Foxo1,Zfp608
862,Foxp1,Akap13
863,Foxp1,Asxl1
864,Foxp1,Cep350
865,Foxp1,Chd4
866,Foxp1,Clint1
867,Foxp1,Dock10
868,Foxp1,Fyn
869,Foxp1,Gata2
870,Foxp1,Mast4
871,Foxp1,Myb
872,Foxp1,Net1
873,Foxp1,Nrip1
874,Foxp1,Pde5a
875,Foxp1,Runx2
876,Foxp1,Sipa1l1
877,Foxp1,Smad1
878,Foxp1,Smap2
879,Foxp1,Trib2
880,Foxp1,Ube2r2
881,Foxp1,Usp9x
882,Foxp1,Wipf1
883,Foxp1,Zyx
884,Gata1,Abcg4
885,Gata1,Agap1
886,Gata1,Arhgap19
887,Gata1,Asap1
888,Gata1,Brf1
889,Gata1,Cd24a
890,Gata1,Cd82
891,Gata1,Cenpf
892,Gata1,Chd2
893,Gata1,Cpox
894,Gata1,Cyth3
895,Gata1,Eif4b
896,Gata1,Ermap
897,Gata1,Gpbp1
898,Gata1,Itgb1
899,Gata1,Kif22
900,Gata1,Klf3
901,Gata1,Lgals3bp
902,Gata1,Lsm4
903,Gata1,Mdn1
904,Gata1,Mgll
905,Gata1,Mrpl45
906,Gata1,Nudt19
907,Gata1,Nudt9
908,Gata1,Pacsin2
909,Gata1,Parvb
910,Gata1,Prkab1
911,Gata1,Rangap1
912,Gata1,Slc16a1
913,Gata1,Tlk1
914,Gata1,Tmem14c
915,Gata1,Uqcr10
916,Gata1,Zfp326
917,Gata1,Zfp800
918,Gata2,Acox3
919,Gata2,Akap13
920,Gata2,Arhgef2
921,Gata2,Cbfa2t3
922,Gata2,Ccdc88a
923,Gata2,Ccnd2
924,Gata2,Celf2
925,Gata2,Cited2
926,Gata2,Cnn2
927,Gata2,Cux1
928,Gata2,Dock2
929,Gata2,Dtnbp1
930,Gata2,Dusp23
931,Gata2,Eif4e3
932,Gata2,Flna
933,Gata2,Foxp1
934,Gata2,Fut8
935,Gata2,Galnt6
936,Gata2,Gas5
937,Gata2,Gtf2i
938,Gata2,H2afy
939,Gata2,Igfbp4
940,Gata2,Iqgap1
941,Gata2,Jmjd1c
942,Gata2,Kdm3a
943,Gata2,Laptm5
944,Gata2,Lpin2
945,Gata2,Malat1
946,Gata2,Med13l
947,Gata2,Mir142
948,Gata2,Myb
949,Gata2,Ncoa2
950,Gata2,Nfe2
951,Gata2,Nr3c1
952,Gata2,Nrgn
953,Gata2,Oxr1
954,Gata2,Plekha2
955,Gata2,Ptpre
956,Gata2,Ramp1
957,Gata2,Rara
958,Gata2,Runx1
959,Gata2,Runx2
960,Gata2,Slc22a3
961,Gata2,Slc2a1
962,Gata2,Specc1l
963,Gata2,Spns2
964,Gata2,Srcap
965,Gata2,Stxbp5
966,Gata2,Tmem229b
967,Gata2,Vim
968,Gata2,Wipf1
969,Gata2,Zfhx3
970,Gata2,Zyx
971,Gfi1,Galnt2
972,Gfi1,Mylip
973,Gfi1,Nfat5
974,Gfi1,Prkaa1
975,Gfi1,Slc4a8
976,Hoxa7,Acsl1
977,Hoxa7,B330016D10Rik
978,Hoxa7,Casz1
979,Hoxa7,Nrip1
980,Hoxa7,Otub2
981,Hoxa7,Pygl
982,Hoxa7,Runx2
983,Hoxa7,Tiam1
984,Hoxa9,Erc1
985,Hoxa9,G6pc3
986,Hoxa9,Haao
987,Hoxa9,Maml3
988,Hoxa9,Map3k3
989,Hoxa9,Meis1
990,Hoxa9,Palm
991,Hoxa9,Pip5k1b
992,Hoxa9,Ppfibp1
993,Hoxa9,Spop
994,Hoxa9,Ywhaz
995,Hoxa9,Zfand3
996,Ikzf1,Arid2
997,Ikzf1,Eps15
998,Ikzf1,Herc1
999,Ikzf1,Lyst
1000,Ikzf1,Usp25
1001,Ikzf2,Adamts3
1002,Ikzf2,Bcl11a
1003,Ikzf2,Camk1d
1004,Ikzf2,Cdc42se1
1005,Ikzf2,Cdk13
1006,Ikzf2,Cep55
1007,Ikzf2,Cux1
1008,Ikzf2,Dach1
1009,Ikzf2,Ddx58
1010,Ikzf2,Dusp16
1011,Ikzf2,F2r
1012,Ikzf2,Fam65a
1013,Ikzf2,Gabarapl1
1014,Ikzf2,Kdm3b
1015,Ikzf2,Lmo4
1016,Ikzf2,Lpin2
1017,Ikzf2,Mycn
1018,Ikzf2,Naa50
1019,Ikzf2,Pdcd4
1020,Ikzf2,Plekha2
1021,Ikzf2,Ptpn1
1022,Ikzf2,Rabgap1l
1023,Ikzf2,Sh3kbp1
1024,Ikzf2,Sipa1l1
1025,Ikzf2,Tcf3
1026,Ikzf2,Ube2r2
1027,Ikzf2,Ubr5
1028,Ikzf2,Ywhaz
1029,Ikzf2,Zfp644
1030,Ikzf2,Zyx
1031,Irf1,1110034G24Rik
1032,Irf1,Actn1
